Belgium, Life tables (period 1x1), Males     Last modified: 12-Aug-2016, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0     0.18652  0.16580  0.33  100000   16580   88891  4028087  40.28
  1841           1     0.07413  0.07148  0.50   83420    5963   80439  3939195  47.22
  1841           2     0.03983  0.03905  0.50   77457    3025   75945  3858756  49.82
  1841           3     0.02333  0.02306  0.50   74432    1716   73574  3782812  50.82
  1841           4     0.01707  0.01693  0.50   72716    1231   72100  3709238  51.01
  1841           5     0.01240  0.01233  0.50   71485     881   71044  3637137  50.88
  1841           6     0.01020  0.01014  0.50   70604     716   70246  3566093  50.51
  1841           7     0.00800  0.00797  0.50   69888     557   69609  3495847  50.02
  1841           8     0.00701  0.00699  0.50   69331     484   69088  3426238  49.42
  1841           9     0.00696  0.00694  0.50   68846     478   68608  3357150  48.76
  1841          10     0.00603  0.00601  0.50   68369     411   68163  3288542  48.10
  1841          11     0.00519  0.00518  0.50   67958     352   67782  3220379  47.39
  1841          12     0.00490  0.00489  0.50   67606     331   67440  3152597  46.63
  1841          13     0.00495  0.00494  0.50   67275     332   67109  3085157  45.86
  1841          14     0.00510  0.00509  0.50   66943     341   66772  3018048  45.08
  1841          15     0.00539  0.00537  0.50   66602     358   66423  2951275  44.31
  1841          16     0.00590  0.00588  0.50   66244     390   66050  2884852  43.55
  1841          17     0.00664  0.00661  0.50   65855     436   65637  2818803  42.80
  1841          18     0.00757  0.00754  0.50   65419     494   65172  2753166  42.09
  1841          19     0.00863  0.00859  0.50   64926     558   64647  2687993  41.40
  1841          20     0.00994  0.00989  0.50   64368     637   64049  2623347  40.76
  1841          21     0.01120  0.01114  0.50   63731     710   63376  2559298  40.16
  1841          22     0.01203  0.01196  0.50   63021     754   62644  2495922  39.60
  1841          23     0.01276  0.01268  0.50   62267     789   61873  2433277  39.08
  1841          24     0.01143  0.01137  0.50   61478     699   61129  2371405  38.57
  1841          25     0.01031  0.01025  0.50   60779     623   60468  2310276  38.01
  1841          26     0.01016  0.01011  0.50   60156     608   59852  2249808  37.40
  1841          27     0.00933  0.00929  0.50   59548     553   59271  2189957  36.78
  1841          28     0.00913  0.00908  0.50   58995     536   58727  2130685  36.12
  1841          29     0.00881  0.00878  0.50   58459     513   58202  2071958  35.44
  1841          30     0.00851  0.00847  0.50   57946     491   57701  2013756  34.75
  1841          31     0.00910  0.00905  0.50   57455     520   57195  1956055  34.04
  1841          32     0.00957  0.00952  0.50   56935     542   56664  1898860  33.35
  1841          33     0.00939  0.00934  0.50   56393     527   56129  1842196  32.67
  1841          34     0.00843  0.00839  0.50   55866     469   55631  1786067  31.97
  1841          35     0.00834  0.00830  0.50   55397     460   55167  1730435  31.24
  1841          36     0.00922  0.00917  0.50   54937     504   54685  1675268  30.49
  1841          37     0.00933  0.00928  0.50   54433     505   54180  1620584  29.77
  1841          38     0.00972  0.00967  0.50   53928     521   53667  1566403  29.05
  1841          39     0.00956  0.00952  0.50   53406     508   53152  1512736  28.33
  1841          40     0.00950  0.00946  0.50   52898     500   52648  1459584  27.59
  1841          41     0.01067  0.01061  0.50   52397     556   52120  1406937  26.85
  1841          42     0.01181  0.01174  0.50   51842     609   51537  1354817  26.13
  1841          43     0.01185  0.01178  0.50   51233     603   50931  1303280  25.44
  1841          44     0.01072  0.01066  0.50   50630     540   50360  1252349  24.74
  1841          45     0.01089  0.01083  0.50   50090     542   49819  1201989  24.00
  1841          46     0.01303  0.01294  0.50   49547     641   49227  1152170  23.25
  1841          47     0.01370  0.01361  0.50   48906     666   48573  1102944  22.55
  1841          48     0.01447  0.01436  0.50   48240     693   47894  1054370  21.86
